SPECIES,LATITUDE,LONGITUDE,longlat.uncertainty,Year,Month
Atriplex nummularia,-27.1,131.7,1000,2000,1
Atriplex australasica,-35.578452,138.596386,30000,1945,1
Atriplex paludosa subsp. paludosa,-34.712059,138.426377,10000,1945,1
Atriplex australasica,-35.578452,138.596386,10000,1955,1
Atriplex australasica,-35.578452,138.596386,10000,1959,1
Atriplex eardleyae,-32.226491,138.539404,10000,1972,1
Atriplex vesicaria,-32.85,137.933333,1000,1975,1
Atriplex vesicaria,-32.85,137.933333,1000,1975,1
Atriplex paludosa subsp. cordata,-32.85,137.93,10000,1975,1
Atriplex paludosa subsp. cordata,-33.965422,134.284461,10000,1923,1
Atriplex paludosa subsp. cordata,-33.965422,134.284461,10000,1923,1
Atriplex paludosa subsp. cordata,-33.969033,134.284461,10000,1923,1
Atriplex paludosa subsp. cordata,-33.969033,134.284461,10000,1923,1
Atriplex vesicaria,-33,137.583333,10000,1974,1
Atriplex cinerea,-35.077061,138.50138,10000,1967,1
Atriplex suberecta,-34.9875,138.559167,10000,1968,1
Atriplex cinerea,-35.820682,137.790562,10000,1943,1
Atriplex suberecta,-35.116667,139.316667,10000,1974,1
Atriplex cinerea,-32.133333,133.683333,10000,1957,1
Atriplex pumilio,-34.266667,140.533333,10000,1978,1
Atriplex pumilio,-32.583333,134.05,10000,1935,1
Atriplex quadrivalvata var. quadrivalvata,-28,134.433333,1000,1978,1
Atriplex nummularia,-27.5,135.416667,10000,1978,1
Atriplex nummularia,-27.5,135.416667,10000,1978,1
Atriplex semibaccata,-35.05,139.116667,10000,1976,1
Atriplex stipitata,-32.732047,138.617742,10000,1944,1
Atriplex acutibractea subsp. karoniensis,-35.3,136.9,1000,1961,1
Atriplex cinerea,-35.55,138.616667,10000,1958,1
Atriplex velutinella,-31.733333,140.35,1000,1979,1
Atriplex angulata,-31.733333,140.35,1000,1979,1
Atriplex limbata,-31.733333,140.35,1000,1979,1
Atriplex angulata,-31.733333,140.35,1000,1979,1
Atriplex cinerea,-36.065392,139.584436,10000,1974,1
Atriplex semibaccata,-34.416667,137.916667,10000,1880,1
Atriplex lindleyi subsp. lindleyi,-33.65,139.05,10000,1895,1
Atriplex lindleyi,-33.65,139.05,10000,1895,1
Atriplex semibaccata,-34.183333,139.983333,10000,1925,1
Atriplex semibaccata,-35.383333,139.566667,1000,1887,1
Atriplex cinerea,-35.816667,137.783333,10000,1983,1
Atriplex cinerea,-35.816667,137.783333,10000,1983,1
Atriplex spongiosa,-27.133333,135.55,1000,1927,1
Atriplex holocarpa,-27.55,135.45,30000,1927,1
Atriplex elachophylla,-26.266667,134.916667,10000,1927,1
Atriplex stipitata,-33.019167,140.751389,30000,1921,1
Atriplex cinerea,-35.5,138.516667,10000,1928,1
Atriplex lobativalvis,-27.2,136.35,10000,1926,1
Atriplex lobativalvis,-27.133333,135.55,10000,1926,1
Atriplex cinerea,-35.5,138.516667,10000,1925,1
Atriplex elachophylla,-26.666667,135.283333,1000,1927,1
Atriplex suberecta,-35.5,138.516667,1000,1928,1
Atriplex velutinella,-27.126667,135.55,1000,1927,1
Atriplex limbata,-26.666667,135.283333,10000,1927,1
Atriplex vesicaria,-28.866667,137.283333,10000,1967,1
Atriplex stipitata,-34.3,139.6,10000,1959,1
Atriplex suberecta,-34.816667,138.716667,1000,1977,1
Atriplex suberecta,-34.9,138.633333,10000,1976,1
Atriplex pumilio,-32.45,133.65,10000,1932,1
Atriplex cinerea,-33.983333,137.533333,1000,1979,1
Atriplex paludosa subsp. cordata,-33.932061,137.634431,10000,1979,1
Atriplex suberecta,-34.969167,138.629722,1000,1960,1
Atriplex limbata,-34.183333,140.783333,10000,1884,1
Atriplex leptocarpa,-34.183333,140.783333,10000,1884,1
Atriplex paludosa subsp. cordata,-35.15,138.48,10000,1905,1
Atriplex paludosa subsp. cordata,-34.8,138.5,10000,1918,1
